,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
233,NY,Delaware,36025,2014,0.0,38,4.0,0.10526315789473684,0.0,-74.993985,42.244535
234,NY,Delaware,36025,2015,0.0,39,4.0,0.10256410256410256,0.0,-74.993985,42.244535
235,NY,Delaware,36025,2016,0.0,39,6.0,0.15384615384615385,0.0,-74.993985,42.244535
236,NY,Delaware,36025,2017,0.0,45,6.0,0.13333333333333333,0.0,-74.993985,42.244535
237,NY,Delaware,36025,2018,0.0,61,10.0,0.16393442622950818,0.0,-74.993985,42.244535
238,NY,Delaware,36025,2019,1.0,80,10.0,0.125,0.0006932697373894233,-74.993985,42.244535
239,NY,Delaware,36025,2020,13.0,82,9.0,0.1097560975609756,0.009012506586062504,-74.993985,42.244535
240,NY,Dutchess,36027,2010,0.0,15,0.0,0.0,0.0,-73.839417,41.681015
241,NY,Dutchess,36027,2011,2.0,24,9.0,0.375,0.002513731256991315,-73.839417,41.681015
242,NY,Dutchess,36027,2012,3.0,65,16.0,0.24615384615384614,0.0037705968854869726,-73.839417,41.681015
243,NY,Dutchess,36027,2013,5.0,147,28.0,0.19047619047619047,0.006284328142478288,-73.839417,41.681015
